sampleid	sampleid	sample_type	Nest_id	Larvae_size	Cell_ID	Negative_control	Description_of_sample	Env_exposure	AB_treatment	Year	Sample	AVG_CTscore	logDNA	Gender											
EW-85	85	Nest_contents	14	NA	A	FALSE	PinkCocoonFrassWall	NA	NA	2022		NA	NA	NA											
EW-101	101	Excretion	12	NA	NA	FALSE	Excretion	NA	NA	2023		NA	NA	NA											
EW-102	102	Excretion	8	NA	NA	FALSE	Excretion	NA	NA	2023		NA	NA	NA											
EW-80	80	Food	14	NA	E	FALSE	Pollen_provision	NA	NA	2022	70	15.724	6.13015582	NA											
EW-104	104	Excretion	12	NA	NA	FALSE	Excretion	NA	NA	2023		NA	NA	NA											
EW-EBC12	EBC12	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2023	101	28.201	2.318056829	NA											
EW-107	107	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023		NA	NA	Male											
EW-108	108	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023		NA	NA	Male											
EW-111	111	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023		NA	NA	Male											
EW-173	173	Prepupae	NA	NA	C	FALSE	Larvae	NA	antibiotic	2023	109	28.428	2.248701497	NA											
EW-174	174	Prepupae	NA	NA	A	FALSE	Larvae	NA	control	2023	110	19.193	5.070271922	NA											
EW-112	112	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023		NA	NA	Female											
EW-113	113	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023		NA	NA	Female											
EW-109	109	Adults	3	NA	NA	FALSE	Adults - nest eclosion	Nest_only	NA	2023	171	27.706	2.469294225	Male											
EW-130	130	Prepupae	NA	NA	E	FALSE	Larvae	NA	control	2023	111	17.764	5.506874427	NA											
EW-148	148	Prepupae	NA	NA	H	FALSE	Larvae	NA	control	2023	113	18.464	5.293003361	NA											
EW-116	116	Raw_pollen	NA	NA	NA	FALSE	Raw pollen	NA	NA	2023		NA	NA	NA											
EW-117	117	heads_and_pollen	NA	NA	NA	FALSE	heads and pollen	NA	NA	2023		NA	NA	NA											
EW-118	118	Food	15	NA	NA	FALSE	Food	NA	NA	2023		NA	NA	NA											
EW-119	119	Larvae	15	NA	NA	FALSE	Larvae	NA	NA	2023		NA	NA	NA											
EW-120	120	Prepupae	16	NA	A	FALSE	Larvae	NA	control	2023	125	19.143	5.085548427	NA											
EW-121	121	Prepupae	16	NA	B	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-122	122	Prepupae	17	NA	A	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-EBC15	EBC15	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2023	135	27.706	2.469294225	NA											
EW-124	124	Prepupae	17	NA	C	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-136	136	Prepupae	NA	NA	D	FALSE	Larvae	NA	antibiotic	2023	137	19.533	4.96639169	NA											
EW-126	126	Prepupae	NA	NA	B	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-127	127	Prepupae	NA	NA	A	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-128	128	Prepupae	NA	NA	C	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-129	129	Prepupae	NA	NA	D	FALSE	Larvae	NA	control	2023		NA	NA	NA											
